,Text,enc_label
0,Thappu chesina vaallaku vanike kaadu inka anni modalithavi Enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga,0
1,Dhusta chaathuryam Meeru ilantivi enni chesina em pikalerra,0
2,Vetakaram super Govt ki siggu seram radu Endukante siggu seram manushulaku mathrme vuntundani na abiprayam,0
3,Only rajakiyam ga vadukovatanike ee dharidrapu arestlu,0
4,Katam hogaya narayana pedda bokada college,0
5,TELUGU DESAM PARTY ONLY GOOD ADMINISTRATION IN THE WORLD,1
6,Nenu aite Jabardast show chudadam manesanu TV 5 ABN channels lo debates vchinaka,1
7,Jagan meeda jaganke visvasam ledu anduke ea loffer panulu,0
8,Students tho adukovtam thappu,1
9,Srinivasa gaaru endukee panikamaalina debate Aa sambaki paniledu Meeku jeetam kavaali makenti gola Anni exams happy ga jariginai problem meeu creat cheyyavaddu,0
10,Meru mi media published cheyadam vallane elanti idea lu vastai vallaki,1
11,One of the Great Leader A Big Salute Sir,1
12,Mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuuEdhi ee society andhukaa makky HE TEAM kavalli,0
13,Paniki malina chana,0
14,Rosayya garu is a real Good and true politician History lo oka great leader Rosayya garu No words to praise you sir Rip Rosayya garu,1
15,Telangana gujju gulam kadu,0
16,Disevulera mundamopi,0
17,Anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,0
18,Down To Earth Man Rosaiah Garu,1
19,Jagan is unstoppable,1
20,RK eagerly waiting to demoralise Jagan that is his intention,0
21,Vedi nathinakodaka,0
22,Vizag News reporter overaction chestunadu,0
23,Revanth Reddy garu has very clarity in his thoughts excellent way of expressing himself,1
24,Mahesh smile pure soul,1
25,Kanipinche devudu CBN,1
26,Die hard fan frm Kerala Nenu choosina pedha actor uh Tollywood lo Pawan Garuu,1
27,AnnaNee lanti vaale kavali TDPki,1
28,Babulake Baabu Super star Mahesh Baabu,1
29,Jai Pawan Kalyan Garu Pawan Ji in Andhra and Modi Ji in centre Perfect Combo  I am a big fan of sir from Delhi I wish we had someone like him in Delhi,1
30,Sir ycp ki balle gunapam dimputunavu,0
31,Harish Rao garu adiginatlu Kaleswaram project pai CBI inquiry veyali,1
32,Gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,0
33,Pavan Kalyan gari nayakatvam vardillali jai power star,1
34,Sagam kaalchina chutta peekalaku brand amsador,0
35,Bjp central lo vachi yemi chesinru chepu,0
36,PK navu janmmalo ward member kuda Kaledu,0
37,Lancham antunaru anam garu inthaku mundu your government ilagey chesinda,0
38,Jagan eppatiki CM avvaledu raasi pettukooha,0
39,Kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,1
40,Ka pal garu miru super,1
41,Hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,0
42,No 1 loafer Jai TDPLokesh,0
43,Asalu ka paul time ivvakudadhu amitashaku andhukante ayana 120 deshala pm lanu ayana kalisaru,1
44,Vammo mamulodivi kadu swamy Nuvvu,1
45,Manalli yavadu ra apeddi,1
46,PoraaaRed Flower,0
47,He has more talking power Aina daivajanulato anta easy kadu mari,1
48,Mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge,1
49,Idira pual power anty ippudina telusukondra,1
50,Ramu garu correct ga chepparu sir,1
51,Nuvvu bjp b party ra houle,0
52,Ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,0
53,Employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,0
54,tc rate penchadam kaduudyamalu cheyakunda employees kastapadithe development avutundi,0
55,Ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir Pawan thana cinema dabbulu pedhavallaki pancharu,1
56,Aallu eellu andaru okkate,1
57,Etv news Ani thesesi chandrana news Ani pettandi baguntundhi,1
58,Miru kada ra janalni mosam chesedhi,0
59,NENUKUDAPEDHAVADENEUPADHELEDHUVUDHYOGAMLEDHUPANULUEKUVADHORUKADAMLEDHU,1
60,Ee sari Nennu ne boss ni chayputho kodataru plz hold til 2024,0
61,Eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,1
62,Asalem matladuthunnavo neekanna ardham ayithundha,0
63,Ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,0
64,America Agent Jelenskydeshanni nashanam chesthunnadu,0
65,Power Lo undi evaru ra vedava,0
66,Torch lite Kuda Leni rojula fake news vadu kavalane chesind,0
67,Prajalu andaru sachinanka peekedemiledu,0
68,amarica andatho madam perigi kotukuntundi urikine,0
69,CHETTHAPLAN RAAKSHASHATHVAM,0
70,Anna nuvu chepthuntevoka emotion vasthundanna,1
71,India an Russia are best friendly countries evaru dislike chesaro vallu pak america nd china ollu,1
72,Easy vochina success ni scam antarau Emi chepparu bhayya Love it,1
73,Niyamtruthva leaders time konni rojule,1
74,samsaram kadu adi vebhicharam,0
75,Nice baaga dhimpav Anchor bro,0
76,Mari aa sangathi thelisi antha madham yendhukura niku Vaaru garu antunnaavgnanodhayamyndhi koddhiga,0
77,MAA president ga gelipiste yedo peekutanu annadu yemi peekaadu yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi apdbaandhavudu andarivaduannayya jai chiranjeeviandariki mere GOD FATHER,0
78,One and only Mega star Potthi leyruRaleyru,1
79,Andaru ide Panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,0
80,Chiranjeevi gaaru meeru eppudu greate mi manasu mi saayam mi kalmasham leni vyakthitwam mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi,1
81,Paul mosapoyaduRGV ellipoyaduanchor biskit ayadu gist of this non sense,0
82,Official ga 600 acres ante unofficial GA enno okko family member peru meedha enni ekaraalu unnayo Raitu bandhu okkati chalu,0
83,Real joker re unnadu kada malli sir,0
84,Mallareddy Dookudu cenima lo bramhi character correct set aithadu,1
85,Madyalo Aa sound effects matram next level,1
86,E endaku aa Godugu padutunnaduitlaanti vaadini ekkada unchalo akkada unchaliYCP vallu ade chesaru,0
