,S.No,Comments,Label,enc_label,Label_hate,Label_non-hate,cleaned,transliterated_text
0,HATE_1001,Thappu chesina vaallaku vanike kaadu inka anni modalithavi  . Enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga.,hate,0,1.0,0.0,Thappu chesina vaallaku vanike kaadu inka anni modalithavi Enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga,తప్పు చేసిన వాళ్లకు వణికే కాదు ఇంకా అన్ని మొదలితవి ఎంత కాలం స్టూడెంట్స్ లైఫ్ తో ఆడుకుంటూ క్రోర్స్ ఎర్న్ చెడతారు ఇల్లీగల్ గా
1,HATE_1002,Dhusta chaathuryam!  Meeru ilantivi enni chesina em pikalerra!,hate,0,1.0,0.0,Dhusta chaathuryam Meeru ilantivi enni chesina em pikalerra,దుస్తా చాతుర్యం మీరు ఇలాంటివి ఎన్ని చేసిన ఇఎం పికలెర్ర
2,HATE_1003,Vetakaram super. Govt ki siggu seram radu. Endukante siggu seram manushulaku mathrme vuntundani na abiprayam.,hate,0,1.0,0.0,Vetakaram super Govt ki siggu seram radu Endukante siggu seram manushulaku mathrme vuntundani na abiprayam,వెతకరం సూపర్ గోవ్ట్ కి సిగ్గు సెరమ్ రాదు ఎందుకంటే సిగ్గు సెరమ్ మనుషులకు మాత్రమే వుంటుందని నా అభిప్రాయం
3,HATE_1004,Only rajakiyam ga vadukovatanike ee dharidrapu arestlu,hate,0,1.0,0.0,Only rajakiyam ga vadukovatanike ee dharidrapu arestlu,ఓన్లీ రాజకీయం గా వాడుకోవటానికే ఈ దరిద్రపు అరెస్టులు
4,HATE_1005,Katam hogaya narayana pedda bokada college,hate,0,1.0,0.0,Katam hogaya narayana pedda bokada college,కాటం హోగయా నారాయణ పెద్ద బోకడ కాలేజ్
5,HATE_1006,TELUGU DESAM PARTY ONLY GOOD ADMINISTRATION IN THE WORLD,non-hate,1,0.0,1.0,TELUGU DESAM PARTY ONLY GOOD ADMINISTRATION IN THE WORLD,తెలుగు దేశం పార్టీ ఓన్లీ గుడ్ అడ్మినిస్ట్రేషన్ ఇన్ తే వర్ల్డ్
6,HATE_1007,Nenu aite Jabardast show chudadam manesanu TV 5 ABN channels lo debates vchinaka ,non-hate,1,0.0,1.0,Nenu aite Jabardast show chudadam manesanu TV 5 ABN channels lo debates vchinaka,నేను అయితే జబర్దస్త్ షో చూడడం మానేశాను టీవీ ౫ ఏబీఎన్ చానెల్స్ లో డిబేట్స్ వ్చినాక
7,HATE_1008,Jagan meeda jaganke visvasam ledu anduke ea loffer panulu,hate,0,1.0,0.0,Jagan meeda jaganke visvasam ledu anduke ea loffer panulu,జగన్ మీద జగన్కే విశ్వాసం లేదు అందుకే ఇఎ లోఫర్ పనులు
8,HATE_1009,Students tho adukovtam thappu,non-hate,1,0.0,1.0,Students tho adukovtam thappu,స్టూడెంట్స్ తో ఆడుకొవుతాం తప్పు
9,HATE_1010,Srinivasa gaaru endukee panikamaalina debate... Aa sambaki paniledu... Meeku jeetam kavaali ..makenti gola... Anni exams happy ga jariginai... problem meeu creat cheyyavaddu,hate,0,1.0,0.0,Srinivasa gaaru endukee panikamaalina debate Aa sambaki paniledu Meeku jeetam kavaali makenti gola Anni exams happy ga jariginai problem meeu creat cheyyavaddu,శ్రీనివాస గారు ఎందుకీ పనికమాలిన డిబేట్ ఆ సాంబకి పనిలేదు మీకు జీతం కవాలి మాకేంటి గోల అన్ని ఎగ్జామ్స్ హ్యాపీ గా జరిగినై ప్రాబ్లమ్ మేయు క్రియేట్ చెయ్యవద్దు
10,HATE_1011,Meru mi media published cheyadam vallane elanti idea lu vastai vallaki,non-hate,1,0.0,1.0,Meru mi media published cheyadam vallane elanti idea lu vastai vallaki,మేరు మి మీడియా పబ్లిష్డ్ చేయడం వల్లనే ఎలాంటి ఐడియా లు వస్తాయి వాళ్ళకి
11,HATE_1012,"One of the Great Leader, A Big Salute Sir.,,",non-hate,1,0.0,1.0,One of the Great Leader A Big Salute Sir,ఓనే ఒఎఫ్ తే గ్రేట్ లీడర్ అ బిగ్ సెల్యూట్ సిర్
12,HATE_1013,"Mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuu..
Edhi ee society andhukaa makky ""HE TEAM"" kavalli ",hate,0,1.0,0.0,Mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuuEdhi ee society andhukaa makky HE TEAM kavalli,మొగవాళ్ళ ఫేస్ లూ మాత్రం మంచిగా చూపిస్తారు కన్ని అసల్లు పన్ని చసీన లీడీ ఫేస్ మాత్రం బ్లర్ చస్తారూఏది ఈ సొసైటీ అందుకా మక్కీ హే టీమ్ కావల్లి
13,HATE_1014,Paniki malina chana,hate,0,1.0,0.0,Paniki malina chana,పనికి మాలిన చానా
14,HATE_1015,"Rosayya garu is a real, Good and true politician. History lo oka great leader Rosayya garu. No words to praise you sir. Rip Rosayya garu",non-hate,1,0.0,1.0,Rosayya garu is a real Good and true politician History lo oka great leader Rosayya garu No words to praise you sir Rip Rosayya garu,రోసయ్య గారు ఐఎస్ అ రియల్ గుడ్ అండ్ ట్రూ పొలిటీషియన్ హిస్టరీ లో ఒక గ్రేట్ లీడర్ రోసయ్య గారు నో వర్డ్స్ టో ప్రైజ్ యూ సిర్ రిప్ రోసయ్య గారు
15,HATE_1016,Telangana gujju gulam kadu,hate,0,1.0,0.0,Telangana gujju gulam kadu,తెలంగాణ గుజ్జు గులాం కాదు
16,HATE_1017,Disevulera mundamopi,hate,0,1.0,0.0,Disevulera mundamopi,దిసేవులేరా ముండమోపి
17,HATE_1018,"Anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,",hate,0,1.0,0.0,Anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,అంత మంచి జాబ్ చేస్తూ గోవ్ట్ కి తల వంచి బ్రతకడానికి సిగ్గుండాలి
18,HATE_1019,Down To Earth Man Rosaiah Garu,non-hate,1,0.0,1.0,Down To Earth Man Rosaiah Garu,డౌన్ టో ఎర్త్ మాన్ రోసయ్య గారు
19,HATE_1020,Jagan is unstoppable ,non-hate,1,0.0,1.0,Jagan is unstoppable,జగన్ ఐఎస్ అన్స్టాపబుల్
20,HATE_1021,"RK eagerly waiting to demoralise Jagan, that is his intention",hate,0,1.0,0.0,RK eagerly waiting to demoralise Jagan that is his intention,ర్క్ ఈగర్లీ వెయిటింగ్ టో డెమోరలైజ్ జగన్ థాట్ ఐఎస్ హిస్ ఇంటెన్షన్
21,HATE_1022,Vedi nathinakodaka,hate,0,1.0,0.0,Vedi nathinakodaka,వేడి నతినకొడక
22,HATE_1023,Vizag News reporter overaction chestunadu,hate,0,1.0,0.0,Vizag News reporter overaction chestunadu,విజాగ్ న్యూస్ రిపోర్టర్ ఓవరాక్షన్ చేస్తునాడు
23,HATE_1024,Revanth Reddy garu has very clarity in his thoughts... excellent way of expressing himself ,non-hate,1,0.0,1.0,Revanth Reddy garu has very clarity in his thoughts excellent way of expressing himself,రేవంత్ రెడ్డి గారు హాస్ వెరీ క్లారిటీ ఇన్ హిస్ థౌట్స్ ఎక్సలెంట్ వే ఒఎఫ్ ఎక్స్ప్రెసింగ్ హిమ్సెల్ఫ్
24,HATE_1025,Mahesh smile ...pure soul,non-hate,1,0.0,1.0,Mahesh smile pure soul,మహేష్ స్మైల్ ప్యూర్ సౌల్
25,HATE_1026,Kanipinche devudu CBN,non-hate,1,0.0,1.0,Kanipinche devudu CBN,కనిపించే దేవుడు సీబీఎన్
