Comments,Label
"ఎన్ని సార్లు అయిన వినాలని ఉంది చిట్టి తల్లి సూపర్ మా,,",non-hate
ఫ్యూచర్ లో బాగ work out అవుతుంది సూపర్.,non-hate
ఇది బెండపూడి గవ్నమెంట్ స్టూడెంట్స్ కి మాత్రమే సాధ్యం. ,hate
తెలుగులో మాట్లాడినప్పుడు చాలా అందంగా వినసొంపుగా ఉంది,non-hate
సూపర్ సిస్టర్ ఫ్యూచర్ లో రైల్వే లో జాబ్ రావాలని కోరుకుంటున్నాను అల్ ది బెస్టు,non-hate
వావ్ సూపర్ అమ్మ god bless u తల్లి,non-hate
ఈ స్కూల్ ని NRI వాళ్ళు Develop చేస్తున్నారు. మిగిలిన స్కూళ్లు కూడా ఎవరో ఒక్కరు మారిస్తే బాగుంటుంది,non-hate
సూపర్ బంగారం బాగా చదువుతున్నావ్ కంపల్సరీ ఈ జాబు నీకే వస్తాది .,non-hate
చాలా బాగా నేర్పిస్తున్నారు పిల్లలకి,non-hate
మ్మెల్యే కాకముందే పోలీస్ ఆఫీసర్ ఇలా నించో పెడుతున్నారు ఇక ముఖ్యమంత్రి అయినాడో జనాలని పరుగులు తీయిస్తాడు,hate
అబ్బా అబ్బా ఏమి మాట్లాడారు సర్ కేక పుట్టించే సేరుగా నిప్పు సర్ మీరు,hate
సూపర్ సార్ మీరు చంద్రబాబు నాయుడుకి కావాల్సింది మీలాంటివారు,non-hate
రోమాలు నిక్కబోడుచున్నాయ్ మీ స్పీచ్ తో పవర్ ఫుల్ లీడర్ exlent వాయిస్,non-hate
"సూపర్ అన్న, తగ్గేదే లేదు అన్న, మీరు తగ్గకండి.",non-hate
"ఆలా గడ్డి పేటండి వెధవకి, సూపర్ సార్ పులిలా ఉన్నావ్.",hate
చాలా బాగా మాట్లాడారు అన్న మీకు,non-hate
నాకూ రాజకీయాలు కాదు కానీ నీ డైలాగ్ డెలివరీ బాగుంది..,non-hate
చాలా సూపర్ గా మాట్లాడారు సార్,non-hate
అన్నా చలబాగా మాట్లాడావ్ టీడీపీ కి మీలాంటివాళ్లు చాలా అవసరం యెంతైనా ఉంది,non-hate
సూపర్ సార్ మీలాంటి దమ్మున్న నాయకులుపార్టీకి చాలా అవసరం...,non-hate
సూపర్ sir మీలాంటి నాయకుల టీడీపీ లో వుంటే  సూపర్ వుంటుంది,non-hate
ఏం చెప్పావ్ అక్క నీ అమ్మ ఎంత గొప్పదో దీన్ని బట్టి అర్థమవుతుంది,non-hate
Anna gurinchi chelli excellent ga cheppindi,non-hate
మీ అన్న గురించి బాగా చెప్పావ్,non-hate
